Comune Codice Anno Popolazione TotaleCOM ResiduoCOM DifferenziataCOM TotalePC ResiduoPC DifferenziataPC CoeffDiff
Venezia 425 2000 283962 203819000 165854000 37965000 717.7685747 584.0711081 133.6974666 0.186268209
Vigonovo 426 2000 8094 2584870 1221460 1363410 319.3563133 150.9093155 168.4469978 0.527457861
Cavallino-Treporti 581 2000 NA NA NA NA 717.7685747 584.0711081 133.6974666 0.186268209
AnnoneVeneto 384 2001 3499 1683070 1361920 321150 481.0145756 389.2312089 91.78336668 0.190812028
CampagnaLupia 385 2001 6282 2049130 917466 1131664 326.1907036 146.0468004 180.1439032 0.552265596
CampolongoMaggiore 386 2001 9208 3142780 1762840 1379940 341.3097307 191.4465682 149.8631625 0.439082596
Camponogara 387 2001 10935 3774560 1695330 2079230 345.1815272 155.037037 190.1444902 0.550853609
Caorle 388 2001 11355 15576900 12787400 2789500 1371.809775 1126.147072 245.6627037 0.179079278
Cavarzere 389 2001 15481 5743020 2214280 3528740 370.9721594 143.0321039 227.9400556 0.61443979
Ceggia 390 2001 5100 1251900 462200 789700 245.4705882 90.62745098 154.8431373 0.630801182
Chioggia 391 2001 51785 28636100 22392900 6243200 552.9805928 432.4205851 120.5600077 0.218018515
CintoCaomaggiore 392 2001 3162 1468070 1243800 224270 464.2852625 393.3586338 70.92662872 0.152765195
Cona 393 2001 3251 1224470 443040 781430 376.6441095 136.2780683 240.3660412 0.638178151
ConcordiaSagittaria 394 2001 10482 4713980 3721240 992740 449.7214272 355.0124022 94.709025 0.210594869
Dolo 395 2001 14420 7463480 4260830 3202650 517.5783634 295.4805825 222.0977809 0.429109477
Eraclea 396 2001 12492 8228150 6387540 1840610 658.6735511 511.3304515 147.3430996 0.2236967
Fiessod'Artico 397 2001 5783 2105540 949158 1156382 364.0913021 164.1289988 199.9623033 0.549209229
FossaltadiPiave 398 2001 4015 1221090 415062 806028 304.132005 103.3778331 200.7541719 0.660088937
FossaltadiPortogruaro 399 2001 5848 2860520 2302600 557920 489.1450068 393.7414501 95.40355677 0.195041461
Fossò 400 2001 5922 2617940 1168370 1449570 442.0702465 197.2931442 244.7771023 0.553706349
Gruaro 401 2001 2689 1306440 1058800 247640 485.8460394 393.7523243 92.09371514 0.18955329
Jesolo 402 2001 22724 32148000 26524400 5623600 1414.715719 1167.241683 247.4740363 0.174928456
Marcon 403 2001 12192 6900180 4576030 2324150 565.9596457 375.3305446 190.629101 0.336824547
Martellago 404 2001 19471 9454430 4908750 4545680 485.5646859 252.1056956 233.4589903 0.480798948
Meolo 405 2001 6059 2260400 1524540 735860 373.0648622 251.6157782 121.449084 0.325544151
Mira 406 2001 35297 19542400 11933700 7608700 553.6561181 338.093889 215.5622291 0.389343172
Mirano 407 2001 26197 13807700 9056200 4751500 527.0718021 345.6960721 181.37573 0.344119585
MusilediPiave 408 2001 10262 4052720 1803090 2249630 394.9249659 175.7055155 219.2194504 0.555091395
Noale 409 2001 14808 7255540 4452690 2802850 489.9743382 300.6948947 189.2794435 0.38630481
NoventadiPiave 410 2001 5943 2412910 944311 1468599 406.0087498 158.894666 247.1140838 0.608642262
Pianiga 411 2001 9175 3698410 1887840 1810570 403.0964578 205.7591281 197.3373297 0.489553619
