Comune Codice Anno Popolazione TotaleCOM ResiduoCOM DifferenziataCOM TotalePC ResiduoPC DifferenziataPC CoeffDiff
CampagnaLupia 385 2007 6.862 2.749.660 1.085.760 1.663.900 400.7082483 158.2279219 242.4803264 0.605129361
CampolongoMaggiore 386 2007 9.968 3.655.220 1.550.190 2.105.030 366.6954254 155.5166533 211.1787721 0.575896936
Camponogara 387 2007 12.356 4.210.120 1.821.480 2.388.640 340.7348657 147.4166397 193.318226 0.56735675
Caorle 388 2007 11.931 16.167.300 12.100.600 4.066.700 1355.066633 1014.21507 340.8515632 0.2515386
Ceggia 390 2007 5.898 1.976.650 393.100 1.583.550 335.1390302 66.64971177 268.4893184 0.801128171
CintoCaomaggiore 392 2007 3.247 1.003.400 241.925 761.475 309.0237142 74.50723745 234.5164767 0.758894758
ConcordiaSagittaria 394 2007 10.775 4.156.580 1.245.140 2.911.440 385.7614849 115.5582367 270.2032483 0.700441228
Dolo 395 2007 14.790 8.500.670 4.382.000 4.118.670 574.7579446 296.2812711 278.4766734 0.484511221
Eraclea 396 2007 12.742 7.325.840 2.980.490 4.345.350 574.9364307 233.9106891 341.0257416 0.593153823
Fiessod'Artico 397 2007 6.994 2.737.590 1.136.560 1.601.030 391.4197884 162.5050043 228.9147841 0.584831914
FossaltadiPiave 398 2007 4.228 1.859.220 592.580 1.266.640 439.7398297 140.1561022 299.5837275 0.681274943
FossaltadiPortogruaro 399 2007 6.000 3.426.680 1.860.740 1.565.940 571.1133333 310.1233333 260.99 0.456984603
Fossò 400 2007 6.529 2.808.010 1.105.170 1.702.840 430.0827079 169.270945 260.8117629 0.606422342
Gruaro 401 2007 2.743 1.127.170 263.670 863.500 410.9259934 96.12468101 314.8013124 0.766077876
Jesolo 402 2007 24.449 32.957.100 23.050.200 9.906.900 1347.993783 942.7870261 405.2067569 0.300599871
Marcon 403 2007 14.327 9.670.870 5.673.000 3.997.870 675.0101208 395.9656592 279.0444615 0.413393004
Martellago 404 2007 20.690 10.431.300 5.451.120 4.980.180 504.1710971 263.4664089 240.7046883 0.477426591
Meolo 405 2007 6.439 3.224.240 1.620.700 1.603.540 500.7361392 251.7005746 249.0355645 0.497338908
Mira 406 2007 38.434 21.302.500 13.136.500 8.166.000 554.2618515 341.7937243 212.4681272 0.383335289
Mirano 407 2007 26.363 15.403.800 9.711.940 5.691.860 584.2961727 368.3928233 215.9033494 0.369510121
MusilediPiave 408 2007 11.102 4.710.990 1.516.970 3.194.020 424.3370564 136.6393443 287.6977121 0.677993373
Noale 409 2007 15.521 8.333.650 4.793.940 3.539.710 536.9273887 308.8679853 228.0594034 0.42474906
NoventadiPiave 410 2007 6.420 3.328.800 1.001.270 2.327.530 518.5046729 155.9610592 362.5436137 0.699209925
Pianiga 411 2007 11.204 4.371.510 1.247.900 3.123.610 390.174045 111.3798643 278.7941806 0.714537997
Portogruaro 412 2007 25.198 13.636.900 8.549.930 5.086.970 541.189777 339.3098659 201.8799111 0.373029794
Pramaggiore 413 2007 4.557 1.695.600 399.940 1.295.660 372.0868993 87.76387975 284.3230195 0.764130691
Quartod'Altino 414 2007 7.807 5.042.370 2.889.050 2.153.320 645.8780582 370.0589215 275.8191367 0.427045219
Salzano 415 2007 12.234 3.734.470 1.480.150 2.254.320 305.2533922 120.9865947 184.2667974 0.603651924
SanDonàdiPiave 416 2007 40.014 20.371.200 6.609.240 13.761.960 509.1018144 165.1731894 343.928625 0.675559614
SanMichelealTagliamento 417 2007 11.894 20.409.200 13.554.400 6.854.800 1715.923995 1139.599798 576.3241971 0.335868138
SantaMariadiSala 418 2007 16.661 9.387.650 5.878.620 3.509.030 563.4505732 352.8371646 210.6134086 0.373792163
SantoStinodiLivenza 419 2007 12.801 5.180.660 2.161.600 3.019.060 404.7074447 168.8618077 235.8456371 0.582755865
Scorzè 420 2007 18.916 9.994.730 5.544.070 4.450.660 528.374392 293.0889194 235.2854726 0.445300673
Spinea 421 2007 25.618 12.502.700 7.015.860 5.486.840 488.0435631 273.8644703 214.1790928 0.438852408
Stra 422 2007 7.550 2.819.940 1.090.560 1.729.380 373.5019868 144.4450331 229.0569536 0.613268367
TeglioVeneto 423 2007 2.286 717.892 186.300 531.592 314.0384952 81.49606299 232.5424322 0.740490213
TorrediMosto 424 2007 4.657 1.764.410 498.160 1.266.250 378.8726648 106.9701525 271.9025123 0.717661995
Venezia 425 2007 268.993 208.643.000 151.654.000 56.989.000 775.6447194 563.7841877 211.8605317 0.273141203
Vigonovo 426 2007 9.440 4.099.970 1.984.960 2.115.010 434.3188559 210.2711864 224.0476695 0.515859872
Cavallino-Treporti 581 2007 12.890 18.738.500 12.604.300 6.134.200 1453.723817 977.8355314 475.8882855 0.327358113
AnnoneVeneto 384 2008 3.946 1.315.810 331.390 984.420 333.4541308 83.98124683 249.4728839 0.748147529
CampagnaLupia 385 2008 6.909 2.873.300 1.022.800 1.850.500 415.8778405 148.03879 267.8390505 0.644032993
CampolongoMaggiore 386 2008 10.108 3.883.270 1.547.110 2.336.160 384.1778789 153.0579739 231.119905 0.601596078
Camponogara 387 2008 12.597 4.516.720 1.880.620 2.636.100 358.5552116 149.2911011 209.2641105 0.583631485
Caorle 388 2008 11.987 18.086.700 12.241.400 5.845.300 1508.859598 1021.222992 487.6366063 0.323182228
Ceggia 390 2008 6.088 2.210.130 435.110 1.775.020 363.0305519 71.47010512 291.5604468 0.803129228
CintoCaomaggiore 392 2008 3.281 1.134.820 259.655 875.165 345.8762572 79.13898202 266.7372752 0.771192788
ConcordiaSagittaria 394 2008 10.759 4.389.270 1.082.680 3.306.590 407.9626359 100.6301701 307.3324658 0.753334837
Dolo 395 2008 15.001 8.834.090 4.459.240 4.374.850 588.9000733 297.2628491 291.6372242 0.495223617
Eraclea 396 2008 12.789 7.725.470 3.053.200 4.672.270 604.0714677 238.7364141 365.3350536 0.604787799
Fiessod'Artico 397 2008 7.263 2.916.530 1.175.140 1.741.390 401.5599614 161.798155 239.7618064 0.597075977
FossaltadiPiave 398 2008 4.282 1.910.730 580.300 1.330.430 446.2237272 135.5207847 310.7029426 0.696294087
FossaltadiPortogruaro 399 2008 6.024 3.141.700 836.815 2.304.885 521.5305445 138.9135126 382.6170319 0.733642614
Fossò 400 2008 6.631 3.084.160 1.178.580 1.905.580 465.1123511 177.7378978 287.3744533 0.617860293
Gruaro 401 2008 2.786 1.164.730 264.915 899.815 418.0653266 95.0879397 322.9773869 0.772552437
Jesolo 402 2008 24.875 33.705.200 22.414.700 11.290.500 1354.982915 901.0934673 453.8894472 0.334977986
