IDcom ycom xcom
344 45.859167 11.987222
345 45.901111 12.172500
346 45.717500 12.463611
347 45.719167 12.209167
348 45.854722 12.538611
349 45.856667 11.881111
350 45.759722 12.206111
351 45.604444 12.235833
352 45.646389 12.168056
353 45.924444 12.206944
354 45.632500 11.956944
355 45.992778 12.231111
356 45.730833 11.919722
357 45.629722 12.376389
358 45.705278 12.493889
359 45.684722 12.376944
360 45.921389 12.357778
361 45.914167 12.253056
362 45.792500 12.395833
363 45.851667 12.287222
364 45.888611 12.345278
365 45.780556 11.840556
366 45.979444 12.385000
367 45.916944 11.954444
368 45.875833 12.133611
369 45.654444 12.299167
370 45.781111 12.259167
371 45.852222 12.250556
372 45.973611 12.233056
373 45.742500 12.086111
374 45.666389 12.245278
375 45.902500 11.997222
376 45.838889 12.380278
377 45.687222 12.019722
378 45.863333 12.039167
379 45.713333 12.260000
380 45.990556 12.296944
381 45.778333 12.125278
382 45.679167 12.492222
383 45.602222 12.168333
384 45.797500 12.685833
385 45.356944 12.098333
386 45.333056 12.050278
387 45.385833 12.074167
388 45.602500 12.888333
389 45.136667 12.083889
390 45.686111 12.637778
391 45.220556 12.279444
392 45.826111 12.786667
393 45.194444 12.041667
394 45.757222 12.845278
395 45.425556 12.075556
396 45.578889 12.673056
397 45.419167 12.033611
398 45.648611 12.513889
399 45.792222 12.909167
400 45.388333 12.050278
401 45.831389 12.841111
402 45.540000 12.641389
403 45.555556 12.299167
404 45.548333 12.156667
405 45.622500 12.451944
406 45.435000 12.122500
407 45.494722 12.112500
408 45.623889 12.565000
409 45.551944 12.073056
410 45.662778 12.530556
411 45.458056 12.031111
412 45.777222 12.837222
413 45.814444 12.738611
414 45.581944 12.370833
415 45.522500 12.106944
416 45.633889 12.565278
417 45.767222 12.994722
418 45.508333 12.036111
419 45.731944 12.681667
420 45.574444 12.109444
421 45.491944 12.169444
422 45.411389 12.009167
423 45.816389 12.886944
424 45.691389 12.710833
425 45.438056 12.327500
426 45.389167 12.008889
427 45.450000 12.450000
428 45.36166667 11.79083333
