330	610	98
491	648	229
102	396	332
395	100	101
332	396	100
335	647	108
646	109	401
647	335	229
108	228	335
491	229	102
656	431	403
160	34	105
332	100	395
333	649	648
222	33	395
34	399	226
108	646	230
451	651	650
646	108	647
113	235	596
648	647	229
234	600	645
109	600	601
109	645	600
602	401	601
230	646	401
656	655	431
599	234	598
598	113	597
235	595	596
235	113	644
598	234	113
491	333	648
400	650	649
105	400	649
106	653	652
333	105	649
226	400	105
483	399	161
226	105	34
159	277	430
161	399	34
395	33	491
160	105	333
491	33	333
160	278	34
333	33	160
222	430	33
35	364	162
33	430	364
490	31	222
28	31	157
222	470	430
32	31	28
163	162	36
364	277	162
279	36	365
162	277	36
34	278	161
33	364	278
163	35	162
161	278	35
366	227	163
165	280	38
366	163	279
227	35	163
471	37	279
284	482	368
365	471	279
159	470	31
279	37	366
471	481	166
40	280	165
37	471	166
282	165	281
366	37	281
166	281	37
166	282	281
38	164	655
283	484	431
164	280	367
655	483	38
35	483	161
38	280	164
227	38	483
227	165	38
226	106	451
226	654	106
226	399	654
112	656	403
658	454	539
663	662	2
115	661	660
543	659	120
340	551	488
552	409	551
244	457	410
244	121	340
556	118	238
115	243	236
243	340	488
340	243	457
488	342	243
656	112	232
406	661	115
226	451	400
652	651	451
405	112	486
400	451	650
552	553	245
557	558	118
236	406	115
236	114	406
243	342	236
488	409	342
115	660	410
644	661	337
566	567	339
456	118	558
560	566	559
559	456	558
559	566	456
563	565	566
562	566	560
562	563	566
563	564	565
556	557	118
555	556	238
122	555	238
342	122	238
409	552	245
122	245	554
122	409	245
122	554	555
245	553	554
547	548	121
551	241	550
121	241	340
549	550	241
546	547	244
244	547	121
244	411	546
244	340	457
241	551	340
410	341	411
660	242	341
90	120	658
663	2	134
657	404	658
232	112	405
657	232	404
657	656	232
645	644	234
233	485	404
539	540	90
411	544	545
411	341	544
234	644	113
455	485	405
485	391	454
111	455	405
212	390	211
484	453	110
389	81	206
484	110	431
453	193	69
486	111	405
530	322	210
487	111	231
322	88	210
539	454	213
658	404	485
89	485	212
454	658	485
541	120	90
537	538	213
539	213	538
542	120	541
539	90	658
540	541	90
548	549	241
543	120	542
411	545	546
536	537	391
535	391	89
213	454	391
534	89	211
391	485	89
455	212	485
455	111	88
322	390	88
211	89	212
212	88	390
487	205	88
534	535	89
536	391	535
532	211	390
533	534	211
211	532	533
133	257	468
532	390	531
531	390	322
210	528	529
527	209	526
205	210	88
530	531	322
530	210	529
205	82	210
319	83	209
83	86	209
526	86	525
525	208	524
208	523	524
203	317	79
522	523	85
132	423	350
132	520	423
86	83	320
209	87	319
321	87	528
321	206	87
206	319	87
384	311	68
528	87	527
210	321	528
82	206	321
210	82	321
205	336	389
205	389	82
194	69	193
82	389	206
336	110	453
206	81	319
194	193	311
319	443	83
81	69	194
320	83	204
70	194	312
320	204	84
440	197	73
80	314	318
194	443	81
204	317	84
204	80	318
203	79	316
317	204	79
350	207	467
85	84	207
203	467	207
207	317	203
522	350	423
85	207	350
520	132	468
350	467	132
521	423	520
520	257	519
489	349	420
519	133	518
519	257	133
467	422	132
349	133	468
347	256	422
468	132	422
254	489	131
133	349	489
129	130	417
349	422	256
518	489	254
517	254	131
517	518	254
255	421	420
323	515	466
256	420	349
256	417	130
348	418	253
323	421	255
417	347	464
422	467	203
464	347	78
417	256	347
78	203	316
78	422	203
316	442	77
440	314	197
79	318	442
79	204	318
318	440	74
318	314	440
315	198	387
442	74	198
387	199	75
477	200	199
309	200	313
477	74	386
191	309	476
191	67	309
296	191	52
309	313	196
450	492	398
438	383	308
439	72	192
195	197	71
476	439	192
476	309	439
196	73	72
313	386	73
73	196	313
72	439	196
314	312	197
385	80	70
194	384	312
195	73	197
385	70	312
80	443	70
314	385	312
314	80	385
389	69	81
389	336	453
384	194	311
70	443	194
72	384	192
71	312	384
384	195	71
72	73	195
384	68	310
68	453	402
285	402	368
68	193	453
41	484	283
41	402	453
389	453	69
484	41	453
431	164	283
431	655	164
283	367	167
283	164	367
367	40	167
367	280	40
167	284	368
39	166	481
40	282	284
40	165	282
284	369	482
284	282	369
285	225	402
192	384	310
482	285	368
450	52	192
192	225	450
310	402	225
104	450	225
179	376	53
285	104	225
493	449	51
369	42	482
168	481	103
75	200	382
477	386	200
315	75	307
199	200	75
300	380	188
75	382	189
76	307	64
189	437	381
76	64	441
307	381	65
377	180	190
189	382	308
180	381	190
307	189	381
306	65	299
64	307	65
435	374	181
56	306	299
435	181	56
56	299	435
474	58	301
301	57	181
188	306	300
378	181	300
380	57	182
300	181	57
378	306	56
64	65	306
306	378	300
56	181	378
58	182	301
187	380	182
183	474	436
182	57	301
436	474	301
186	61	304
264	474	183
5	137	302
379	186	187
302	59	185
474	379	58
474	5	379
187	305	380
63	304	251
461	251	304
305	187	63
388	478	416
128	461	250
305	251	462
305	63	251
478	201	305
441	64	201
201	188	380
64	306	188
315	387	75
198	199	387
388	315	76
77	442	315
201	478	441
416	202	388
416	478	462
388	441	478
252	202	463
77	388	202
346	252	463
129	417	252
416	346	463
250	345	465
462	128	346
91	673	392
252	348	129
465	345	127
419	418	348
673	214	392
420	130	255
323	674	91
129	253	130
129	348	253
130	674	255
215	515	323
323	255	674
215	514	515
444	324	511
514	215	479
324	444	392
324	214	672
323	91	215
392	513	479
479	91	392
674	418	675
510	511	324
127	460	344
92	510	324
92	509	510
507	508	671
672	671	92
673	672	214
672	92	324
671	509	92
475	414	249
249	344	460
459	676	344
419	465	418
345	460	127
675	465	127
346	128	419
251	461	128
418	465	675
250	461	415
419	250	465
419	128	250
59	475	185
460	345	62
62	475	460
414	303	459
60	414	475
184	303	414
258	2	184
676	675	127
351	1	134
351	663	1
2	303	184
665	664	640
671	670	325
640	641	665
249	459	344
249	414	459
126	303	662
506	507	325
126	662	676
670	506	325
412	669	668
505	506	670
505	670	669
504	505	669
674	673	91
123	669	412
413	503	504
667	247	412
498	246	123
496	247	124
497	412	247
123	413	669
246	503	413
501	502	343
503	246	502
500	343	499
500	501	343
497	498	123
499	343	498
495	496	124
497	247	496
665	643	458
494	495	248
666	248	667
125	494	248
642	665	641
458	666	665
639	640	664
643	125	458
494	125	643
258	351	134
3	638	351
259	636	637
135	637	638
135	259	637
259	635	636
3	424	135
4	635	259
135	136	259
137	5	138
184	424	258
136	4	259
136	60	475
424	184	60
60	136	424
352	4	136
61	302	185
302	137	59
185	475	62
352	136	475
379	302	186
379	5	302
425	137	4
425	59	137
352	425	4
352	59	425
137	6	4
137	138	6
141	262	9
262	7	426
8	262	141
7	353	6
10	354	264
426	138	264
183	10	264
9	426	354
263	10	11
263	354	10
263	9	354
629	261	427
263	141	9
263	427	141
262	8	140
141	261	8
140	630	631
140	8	630
260	353	632
140	7	262
140	631	632
140	632	7
7	632	353
635	6	139
634	632	633
139	260	632
634	139	632
634	635	139
265	427	355
13	143	427
10	142	11
48	373	142
265	355	11
427	263	355
292	174	373
357	145	12
267	356	145
356	266	145
626	627	144
143	13	266
630	261	629
267	15	356
17	144	14
356	14	266
356	17	14
469	268	17
428	626	268
472	358	146
19	269	18
147	269	19
148	428	469
146	15	267
147	17	15
357	267	145
16	146	267
15	146	147
288	433	44
372	146	16
358	147	146
18	269	149
148	469	19
17	19	469
17	147	19
287	170	45
269	358	288
433	288	472
170	269	288
290	433	472
44	371	170
173	372	47
472	146	372
176	293	47
49	177	291
16	174	372
374	175	48
12	373	174
12	142	373
174	357	12
16	267	357
174	292	47
373	175	292
183	48	142
436	181	48
293	176	435
47	292	176
292	374	176
48	181	374
293	435	49
176	374	435
173	293	49
173	47	293
294	177	377
177	46	291
49	291	173
177	294	46
177	180	377
298	299	381
54	294	377
46	172	291
49	298	180
55	299	298
49	55	298
435	299	55
190	66	383
437	189	308
437	66	190
437	308	66
382	67	308
476	52	191
309	67	200
191	308	67
398	296	52
53	434	438
296	438	191
296	179	438
190	297	54
190	383	297
190	54	377
297	178	54
179	53	438
376	493	53
51	295	434
297	383	473
450	398	52
450	104	492
398	179	296
104	482	492
398	492	179
482	42	449
39	168	42
286	51	449
53	493	51
376	179	493
473	295	178
51	171	295
54	178	375
297	473	178
46	375	289
178	295	50
54	375	294
178	50	375
375	46	294
172	290	291
289	172	46
289	371	172
290	44	433
290	172	44
171	371	289
45	170	371
432	43	45
149	269	170
370	150	432
43	169	45
370	21	150
152	359	20
151	22	21
22	271	152
21	152	150
21	22	152
445	362	274
361	155	27
370	151	21
155	271	22
168	103	286
397	448	151
286	370	432
286	103	370
224	334	103
397	151	103
481	224	103
448	155	151
369	39	42
369	166	39
42	168	449
39	481	168
471	224	481
471	365	159
159	32	471
480	156	448
28	156	32
156	273	448
480	448	397
273	155	448
222	31	470
363	275	31
490	363	31
158	394	29
334	224	32
365	36	159
334	32	480
159	31	32
101	490	222
101	220	490
612	613	219
276	329	97
276	220	329
327	29	394
157	31	275
329	612	97
274	28	157
156	480	32
274	156	28
274	273	156
363	158	275
30	97	158
217	29	327
157	275	29
158	219	447
97	612	219
96	328	613
394	447	328
394	96	327
327	96	95
446	96	614
613	614	96
95	446	218
95	96	446
660	659	242
217	326	445
393	93	326
27	362	361
326	93	216
29	217	445
95	218	217
274	362	27
445	326	362
271	359	152
616	216	93
152	20	150
359	26	153
270	43	432
169	287	45
270	169	43
270	149	169
360	26	429
359	361	26
169	149	287
270	18	149
361	429	26
361	362	429
272	360	25
429	362	154
360	23	153
428	148	18
621	622	24
624	428	18
153	18	270
23	624	18
623	624	23
625	428	624
626	428	625
619	620	621
619	621	24
619	24	618
622	23	24
18	153	23
20	359	153
25	360	154
24	23	360
272	25	616
154	216	25
272	616	617
25	216	616
93	393	615
618	272	617
24	360	272
543	242	659
543	544	242
242	544	341
