Comune Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10
Chiuppano 128 0 0 0 0 0 0 0 0 0 99 9 9 9 9
CismondelGrappa 129 87 114 114 114 114 106 122 113 122 127 152 142 123 123
CogollodelCengio 130 45 19 19 20 20 20 20 20 20 20 26 26 26 26
Conco 131 552 531 504 549 488 488 412 366 412 370 375 322 332 375
CornedoVicentino 132 14 30 30 30 30 30 52 52 52 58 62 62 62 62
Costabissara 133 24 24 25 48 48 48 60 60 60 60 172 177 187 183
Creazzo 134 22 31 31 24 24 24 29 5 29 397 394 394 409 402
Crespadoro 135 228 228 203 203 203 245 211 211 211 121 214 144 144 141
Dueville 136 39 29 29 29 29 31 31 31 31 31 34 42 42 42
Enego 137 1717 1658 1602 1602 1602 1602 1602 1641 1602 1584 915 859 843 879
FaraVicentino 138 0 0 10 10 34 34 38 41 38 53 41 52 52 67
Foza 139 293 293 297 297 297 297 297 305 297 280 152 152 152 148
Gallio 140 4224 4185 4284 4216 4237 4232 4003 3939 4003 4854 1253 1178 1259 2654
Gambellara 141 6 6 6 6 6 0 0 0 0 6 6 6 6 22
Gambugliano 142 0 0 0 0 0 0 0 0 0 0 0 5 5 5
Grancona 143 17 19 21 21 21 24 24 31 24 28 34 34 34 34
GrisignanodiZocco 144 87 90 90 90 182 182 188 165 188 172 199 199 205 205
GrumolodelleAbbadesse 145 75 75 75 75 75 75 71 71 71 114 114 114 119 215
IsolaVicentina 146 11 11 0 15 15 20 16 36 16 20 23 34 44 48
Laghi 147 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lastebasse 148 212 200 140 140 140 141 141 41 141 64 188 88 88 88
Longare 149 0 8 18 18 34 49 52 52 52 86 75 66 74 73
Lonigo 150 60 24 25 25 25 25 30 30 30 198 214 221 221 226
LugodiVicenza 151 0 0 0 0 0 0 0 9 0 0 9 51 51 51
Lusiana 152 1122 1122 1126 1099 1099 1011 1024 1016 1024 1117 263 209 209 234
Malo 153 98 98 98 98 98 100 100 74 100 110 134 115 115 94
MaranoVicentino 154 17 17 17 17 17 17 17 17 17 23 25 28 28 23
Marostica 155 102 101 127 131 134 222 254 256 254 260 269 263 297 285
MasonVicentino 156 0 0 0 0 0 0 0 0 0 34 50 57 53 53
Molvena 157 11 11 11 11 11 9 21 21 21 29 39 43 42 38
MontebelloVicentino 158 38 20 20 20 20 20 20 34 20 17 37 37 37 37
MontecchioMaggiore 159 451 446 550 501 550 550 495 549 495 638 689 689 707 713
MontecchioPrecalcino 160 7 7 7 7 7 11 11 4 11 0 0 0 0 0
MontediMalo 161 0 0 0 13 13 13 13 13 13 13 11 11 11 11
Montegalda 162 23 23 32 32 56 56 56 44 56 67 40 64 60 56
Montegaldella 163 0 0 0 0 0 18 18 0 18 18 36 36 29 11
Monteviale 164 0 0 0 0 0 0 0 0 0 4 3 9 9 5
MonticelloConteOtto 165 20 20 20 20 20 20 25 25 25 27 29 29 29 39
MontorsoVicentino 166 36 36 36 36 36 46 46 46 46 46 46 46 46 46
Mossano 167 0 0 0 0 0 16 16 16 16 16 26 26 17 7
Mussolente 168 38 38 38 38 38 37 37 37 37 46 65 65 65 65
Nanto 169 0 0 0 0 4 6 6 4 6 0 0 0 0 0
NogaroleVicentino 170 14 14 14 14 14 14 14 14 14 14 14 14 14 14
Nove 171 0 0 0 0 0 0 0 0 0 6 6 6 6 6
NoventaVicentina 172 78 69 69 69 69 69 69 69 69 87 99 99 80 93
Orgiano 173 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Pedemonte 174 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Pianezze 175 0 0 0 0 0 0 6 6 6 40 10 10 10 10
PioveneRocchette 176 37 37 37 37 37 37 37 46 37 74 43 43 43 43
PoianaMaggiore 177 0 0 0 0 0 0 4 4 4 4 4 4 4 4
